¼±¼ö¸í,Æ÷Áö¼Ç,scoring,assist,shooting,shootontarget,insidepashoot,outsidepashoot,freekick,cornerkick,throwin,dribble,keypass,forwardpass,backpass,lateralpass,attackareapass,defensiveareapass,centerareapass,longpass,middistancepass,shortpass,cross,offpressure,groundduel,airduel,tackle,clearing,intercept,block,acquisition,block,miss,foul,fouled
±èÁÖ¼º,0,0,0,0.00101317123,0,0.00101317123,0,0.0172239108,0,0.00303951368,0.00101317123,0.00101317123,0.258358663,0.0871327254,0.320162107,0.0172239108,0.240121581,0.408308004,0.0699088146,0.318135765,0.277608916,0,0,0.031408308,0.0587639311,0.0121580547,0.0618034448,0.0445795339,0.0192502533,0.0364741641,0.0395136778,0.00303951368,0.0121580547,0.0040526849
Á¤½ÂÇö,0,0.000524109015,0,0.00209643606,0.000524109015,0.00209643606,0,0.0246331237,0,0.000524109015,0.00209643606,0.00209643606,0.305031447,0.0314465409,0.296645702,0.00786163522,0.229035639,0.396226415,0.126310273,0.306603774,0.200209644,0.00314465409,0.00157232704,0.0157232704,0.0545073375,0.0188679245,0.0681341719,0.0445492662,0.0193920335,0.0241090147,0.034591195,0.00209643606,0.00995807128,0.00262054507
Á¶¼ºÁØ,0,0,0.00275027503,0.00385038504,0,0.00110011001,0.00275027503,0.00440044004,0.000550055006,0.0467546755,0.00825082508,0.0121012101,0.112761276,0.150715072,0.169416942,0.157315732,0.0561056106,0.219471947,0.0225522552,0.109460946,0.300880088,0.0302530253,0.00495049505,0.0242024202,0.0280528053,0.0231023102,0.0148514851,0.0247524752,0.0214521452,0.0583058306,0.0170517052,0.0121012101,0.00495049505,0.0115511551
¼­¹Î¿ì,0,0,0.000340599455,0.00374659401,0.00102179837,0.00136239782,0.00238419619,0.00749318801,0,0.000340599455,0.00068119891,0.00340599455,0.138623978,0.0790190736,0.204019074,0.0507493188,0.106607629,0.264305177,0.0466621253,0.165531335,0.209468665,0.00340599455,0.00272479564,0.0309945504,0.034400545,0.0371253406,0.0326975477,0.0384877384,0.0398501362,0.0677792916,0.0265667575,0.00749318801,0.0105585831,0.00783378747
±è½Â´ë,1,0.00387096774,0.00064516129,0.0109677419,0.0064516129,0.00774193548,0.00322580645,0,0.00064516129,0.00516129032,0.00064516129,0.0116129032,0.0729032258,0.118064516,0.123225806,0.132903226,0.0470967742,0.134193548,0.0116129032,0.0709677419,0.231612903,0.0219354839,0.00064516129,0.0148387097,0.0322580645,0.0161290323,0.00193548387,0.00838709677,0.00451612903,0.0483870968,0.00709677419,0.0148387097,0.0148387097,0.00838709677
ÄÉºó,0,0.000980392157,0,0.0137254902,0.00294117647,0.00490196078,0.00882352941,0.012745098,0,0.000980392157,0.00980392157,0.00490196078,0.131372549,0.087254902,0.255882353,0.05,0.0843137255,0.340196078,0.119607843,0.202941176,0.151960784,0.00294117647,0,0.0294117647,0.0549019608,0.0245098039,0.0254901961,0.031372549,0.0333333333,0.0578431373,0.0225490196,0.0068627451,0.012745098,0.00490196078
±Ç¿Ï±Ô,0,0.000907852928,0.000453926464,0.00680889696,0.00181570586,0.00408533818,0.00272355878,0.0136177939,0,0.0167952792,0.00226963232,0.00272355878,0.226509305,0.0676350431,0.210167953,0.0335905583,0.194734453,0.27598729,0.0862460281,0.213799365,0.204266909,0.0154334998,0.00544711757,0.0281434408,0.0585565138,0.0236041761,0.0617339991,0.0403994553,0.0236041761,0.0449387199,0.0263277349,0.0049931911,0.0140717204,0.00590104403
À±¼®¿µ,0,0.000357525921,0.000715051841,0.00143010368,0.000357525921,0.000715051841,0.000715051841,0.0168037183,0.000357525921,0.00607794065,0.00107257776,0.00143010368,0.18233822,0.0429031105,0.185913479,0.022524133,0.110117984,0.278512692,0.0822309617,0.189846264,0.139077583,0.00607794065,0.00107257776,0.0196639256,0.0343224884,0.0114408295,0.0654272435,0.0418305327,0.0185913479,0.0332499106,0.02717197,0.0017876296,0.00536288881,0.00607794065
ÀÓÃ¢¿ì,0,0.000573558933,0.000286779467,0.00659592773,0.00200745627,0.0025810152,0.00401491253,0.0197877832,0.00143389733,0.0513335245,0.00401491253,0.00315457413,0.230283912,0.0447375968,0.199885288,0.0467450531,0.122454832,0.305706911,0.0909090909,0.227129338,0.156868368,0.025810152,0.00200745627,0.0263837109,0.0628047032,0.0223687984,0.0728419845,0.0458847147,0.0292515056,0.0315457413,0.0309721824,0.004301692,0.0068827072,0.00802982506
Á¤¿ìÀç,0,0,0.00042462845,0.0059447983,0.00212314225,0.0025477707,0.0033970276,0.0016985138,0,0.0951167728,0.0106157113,0.0067940552,0.168577495,0.160934183,0.222080679,0.205095541,0.081104034,0.265392781,0.0305732484,0.171974522,0.349044586,0.0309978769,0.00382165605,0.0191082803,0.0292993631,0.016985138,0.0263269639,0.0356687898,0.0203821656,0.0611464968,0.0199575372,0.0050955414,0.00467091295,0.0050955414
